lat,lng,iso2,population
10.0333,105.7833,VN,1237300
9.0556,7.4914,NG,1235880
21.9831,96.0844,MM,1225546
34.602,105.918,CN,1225000
26.5964,104.8314,CN,1221000
26.5849,101.7149,CN,1214121
3.2167,-51.2167,BR,1209091
55.15,61.4,RU,1202371
-4.05,39.6667,KE,1200000
41.823,-71.4187,US,1203230
25.3189,83.0128,IN,1198491
34.64,50.8764,IR,1201158
38.9355,100.4553,CN,1199515
34.4,132.45,JP,1198021
11.8333,13.15,NG,1197497
-25.9153,32.5764,MZ,1191613
25.3,51.5333,QA,1186023
-32.9575,-60.6394,AR,1193605
14.75,-17.4,SN,1170791
27.795,114.9242,CN,1186700
31.3203,48.6692,IR,1184788
30.3322,-81.6749,US,1181496
24.4667,39.6,SA,1180770
34.0911,74.8061,IN,1180570
54.9667,73.3833,RU,1178391
42.8976,125.1381,CN,1176239
-7.7167,109.017,ID,1174964
28.2333,117,CN,1175000
-5.4294,105.2625,ID,1166761
53.1833,50.1167,RU,1169719
28.2363,113.6984,CN,1168056
35.55,129.3167,KR,1166033
38.5158,114.9845,CN,1165182
-22.9009,-47.0573,BR,1164098
27.6961,111.6659,CN,1162928
14.7319,-17.4572,SN,1146053
29.8239,112.9019,CN,1162770
36.0656,113.8153,CN,1160000
19.7475,96.115,MM,1160242
-1.9536,30.0606,RW,1156663
26.4179,112.8457,CN,1151554
47.7235,128.8893,CN,1148126
6.3176,5.6145,NG,1147188
52.48,-1.9025,GB,1137100
30.3833,113.4,CN,1140100
31.6269,74.877,IN,1132383
-12.0611,-77.1333,PE,1129854
25.6667,-100.3,MX,1135512
27.88,78.08,IN,1131160
34.1511,113.4733,CN,1131896
19.41,-99.03,MX,1109363
32.8752,13.1875,LY,1126000
38.7689,125.4505,KP,1127000
47.2333,39.7167,RU,1125299
14.0942,-87.2067,HN,1126534
41.7225,44.7925,GE,1118035
26.1722,91.7458,IN,1116267
54.7261,55.9475,RU,1115560
34.0433,-5.0033,MA,1112072
10.9508,106.8221,VN,1104000
12.11,15.05,TD,1092066
7.5304,5.76,NG,1099931
40.7777,-111.9306,US,1098526
21.2186,81.4314,IN,1097000
22.5736,88.3251,IN,1077075
9.4075,-0.8533,GH,1095808
39.737,98.5049,CN,1095947
55.6805,12.5615,DK,1085000
19.4,-98.9889,MX,1077208
30.652,113.8274,CN,1092700
43.5036,124.8088,CN,1092692
56.0089,92.8719,RU,1083865
50.9422,6.9578,DE,1083498
31.3697,119.8239,CN,1082929
36,119.4167,CN,1081960
-22.8269,-43.0539,BR,1077687
36.1715,-86.7843,US,1081903
40.1814,44.5144,AM,1075800
51.1333,71.4333,KZ,1078362
18.0858,-15.9785,MR,1077169
-26.6736,27.9319,ZA,1074000
37.5295,-77.4756,US,1075798
-2.53,-44.3028,BR,1073893
23.3556,85.3347,IN,1073440
15.5,-88.0333,HN,1073824
32.1724,120.0142,CN,1073921
26.215,78.1931,IN,1069276
35.1046,-89.9773,US,1066967
37.6564,126.835,KR,1061929
16.5167,80.6167,IN,1048240
53.5344,-113.4903,CA,1062643
42.8667,74.5667,KG,1053900
35.99,119.3801,CN,1060000
36.8008,10.18,TN,1056247
27.6609,113.4946,CN,1060000
30.3972,114.8842,CN,1059700
10.0678,-69.3467,VE,1059092
38.2683,140.8694,JP,1058070
47.3139,130.2775,CN,1058665
27.7167,85.3667,NP,975453
32.6633,-115.4678,MX,1049792
51.6717,39.2106,RU,1047549
58.0139,56.2489,RU,1048005
35.2281,128.6811,KR,1046054
37.5139,105.1884,CN,1046000
36.8833,118.7333,CN,1039205
-6.5917,106.8,ID,1030720
35.8325,-78.6435,US,1038738
10.4236,-75.5253,CO,1036412
30.7353,76.7911,IN,1026459
-25.9667,32.4667,MZ,1032197
26.2944,73.0278,IN,1033918
8.1333,4.25,NG,1032000
42.3,69.6,KZ,1028673
13.5086,2.1111,NE,1026848
28.6583,121.4221,CN,1030200
12.15,-86.2667,NI,1028808
1.0678,104.0167,ID,1029808
30.1286,31.2422,EG,1025569
-9.6658,-35.735,BR,1025360
6.3106,-10.8047,LR,1021762
39.6271,121.9972,CN,1024876
31.169,112.5853,CN,1022514
46.4775,30.7326,UA,1017699
18.5425,-72.3386,HT,987310
30.0687,-89.9288,US,1020886
17.9892,-92.9281,MX,1013484
10.7924,106.7518,VN,1013795
48.7086,44.5147,RU,1015586
12.3086,76.6531,IN,1014227
33.6989,73.0369,PK,1014825
22.3559,110.9369,CN,1013900
21.2379,81.6337,IN,1010087
-16.3988,-71.5369,PE,1008290
4.75,7,NG,1005904
38.1663,-85.6485,US,1005654
32.1287,112.7581,CN,1004741
33.4433,114.8994,CN,1003698
25.091,104.9011,CN,1004132
25.18,75.83,IN,1001694
30.192,67.007,PK,1001205
45.4247,-75.695,CA,989567
59.3294,18.0686,SE,975819
15.3333,38.9167,ER,963000
8.4833,-13.2331,SL,951000
17.9667,102.6,LA,948487
31.7833,35.2167,IL,919438
4.3732,18.5628,CF,889231
9,-79.5,PA,880691
52.3667,4.8833,NL,862965
6.1319,1.2228,TG,837437
0.3901,9.4544,GA,797003
45.8131,15.9772,HR,790017
38.5731,68.7864,TJ,778500
-13.9833,33.7833,MW,781538
6.402,2.518,BJ,762000
6.9167,79.8333,LK,752993
-25.7464,28.1881,ZA,741651
49.8844,-97.1464,CA,705244
46.8139,-71.2081,CA,705103
59.9111,10.7528,NO,693494
37.9842,23.7281,GR,664046
-3.3825,29.3611,BI,658859
60.1756,24.9342,FI,642045
41.9833,21.4333,MK,640000
47.0228,28.8353,MD,639000
56.9475,24.1069,LV,614618
17.9714,-76.7931,JM,580000
34.0253,-6.8361,MA,572717
54.6833,25.2833,LT,574147
13.6989,-89.1914,SV,567698
11.595,43.1481,DJ,562000
53.3497,-6.2603,IE,553165
52.08,4.31,NL,537833
-25.3,-57.6333,PY,524190
38.708,-9.139,PT,506654
48.1447,17.1128,SK,475503
43.4186,-80.4728,CA,470015
59.4372,24.745,EE,438341
33.8869,35.5131,LB,361366
-33.925,18.425,ZA,433688
41.33,19.82,AL,418495
-41.2889,174.7772,NZ,418500
-6.1835,35.746,TZ,410956
44.6475,-63.5906,CA,403131
11.8592,-15.5956,GW,395954
-35.2931,149.1269,AU,381488
4.85,31.6,SS,372410
6.8161,-5.2742,CI,355573
48.4283,-123.3647,CA,335696
-29.31,27.48,LS,330790
35.1725,33.365,CY,330000
-22.57,17.0836,NA,322500
-9.4789,147.1494,PG,317374
6.4833,2.6167,BJ,300000
-19.0431,-65.2592,BO,300000
9.9333,-84.0833,CR,288054
46.05,14.5167,SI,286745
43.8563,18.4132,BA,275524
25.0667,-77.3333,BS,274400
-29.1,26.2167,ZA,256185
14.6104,-61.08,MQ,253995
28.6139,77.209,IN,249998
-24.6569,25.9086,BW,231626
5.8667,-55.1667,SR,223757
-8.5536,125.5783,TL,222323
4.175,73.5083,MV,133019
6.7833,-58.1667,GY,200500
36.1324,-5.3781,GI,187083
-20.8789,55.4481,RE,190047
3.7521,8.7737,GQ,187302
42.4397,19.2661,ME,174515
26.225,50.5775,BH,157474
-20.1667,57.5,MU,149194
12.108,-68.935,CW,150000
46.948,7.4474,CH,133798
-17.5334,-149.5667,PF,131695
49.6106,6.1328,LU,128512
64.1475,-21.935,IS,128793
14.9177,-23.5092,CV,127832
6.9,79.9164,LK,115826
13.0975,-59.6167,BB,110000
-11.7036,43.2536,KM,111329
27.4833,89.6333,BT,104000
-26.3208,31.1617,SZ,94874
-22.2625,166.4443,NC,93060
-9.4333,159.95,SB,84520
-18.1333,178.4333,FJ,88271
39.93,32.85,TR,77168
14.0167,-60.9833,LC,70000
4.933,-52.33,GF,61550
0.3333,6.7333,ST,56166
-17.7333,168.3167,VU,51437
32.2942,-64.7839,BM,52320
4.9167,114.9167,BN,50000
43.7396,7.4069,MC,36371
-3.4283,29.925,BI,41944
10.6667,-61.5167,TT,37074
-13.8333,-171.8333,WS,37708
1.3382,173.0176,KI,28802
12.5186,-70.0358,AW,34980
49.1858,-2.11,JE,33522
13.4531,-16.5775,GM,31356
-12.7871,45.275,YT,32057
7.0918,171.3802,MH,30000
54.15,-4.4819,IM,27938
19.2866,-81.3744,KY,27704
-4.6236,55.4544,SC,26450
13.1667,-61.2333,VC,25000
42.5,1.5,AD,22615
17.1211,-61.8447,AG,21926
-21.1347,-175.2083,TO,23221
37.95,58.3833,TM,19426
64.175,-51.7333,GL,18326
17.25,-88.7675,BZ,17222
15.3,-61.3833,DM,16582
17.2983,-62.7342,KN,13220
62,-6.7833,FO,13326
-14.274,-170.7046,AS,12576
35.8978,14.5125,MT,6444
31.5069,34.456,XG,
21.4664,-71.136,TC,5801
6.9178,158.185,FM,6227
-8.5243,179.1942,TV,6025
47.1397,9.5219,LI,5668
-26.4465,31.2064,SZ,5800
-21.207,-159.771,CK,5445
12.0444,-61.7417,GD,4315
43.932,12.4484,SM,4040
31.7764,35.2269,XW,
15.2137,145.7546,MP,2500
-51.7,-57.85,FK,2213
41.9033,12.4534,VA,825
-19.056,-169.921,NU,1611
16.0104,-61.7055,GP,307
